project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - ReactiveX/RxSwift: Reactive Programming in Swift,21100,Swift,ios,3596,749,10,7,65,1,1,2015
"GitHub - reactiveui/ReactiveUI: An advanced, composable, functional reactive model-view-viewmodel framework for all .NET platforms that is inspired by functional reactive programming. ReactiveUI allows you to  abstract mutable state away from your user interfaces, express the idea around a feature in one readable place and improve the testability of your application.",6700,C#,ios,4784,2441,7,7,25,1,1,2010
GitHub - react-native-elements/react-native-elements: Cross-Platform React Native UI Toolkit,21700,TypeScript,ios,2139,773,7,8,57,1,1,2016
GitHub - RBusarow/ModuleCheck: Fast dependency graph validation for gradle,5,Kotlin,android,355,101,5,4,2,1,0,2020
GitHub - rajesh-loganathan/IOS-SqLite,0,Ruby,ios,2,1,1,1,0,1,0,2014
"GitHub - quinise/Ubox: An android mobile application that consolidates the user’s Gmail account, Twitter, and Facebook timelines with a team of 6; evaluated and wrote technical specifications, maintained team productivity, and Twitter mobile application development.",0,Java,android,7,4,1,2,1,1,0,2013
"GitHub - QueraltSM/Dipuerto: Dipuerto, Disoft Servicios Informáticos S.L.",0,Java,android,8,4,1,1,0,1,0,2019
GitHub - QueenieCplusplus/iOS_Back_17: 沙盒與同一開發者的不同 app 資料共享區,0,Markdown,ios,2,2,2,1,0,1,0,2021
GitHub - puntogris/blint: Open source stock & inventory manager for Android.,0,Kotlin,android,275,329,6,2,1,1,0,2021
GitHub - psynord/NotiMaker: Notification maker app,0,Java,android,2,1,1,1,0,1,0,2021
GitHub - profburke/PassVue: Simple iOS app to view Passbook passes.,1,Objective-C,ios,1,1,1,1,0,1,0,2013
GitHub - podkovyrin/DeepL-iOS: Unofficial DeepL iOS Client,9,Swift,ios,3,2,1,1,0,1,0,2020
"GitHub - pinguet62/ISIMA--ZZ3--SMSToXMPPiOSApp: Application iOS, qui doit être couplée à Croquette, permet l'envoi de SMS depuis un navigateur web",4,Objective-C,ios,6,5,1,1,1,1,0,2012
GitHub - pheuter/MFWalkthrough: A container view controller for iOS that manages conditional navigation between view controllers,35,Objective-C,ios,19,5,2,1,0,1,0,2014
GitHub - peace-shillong/Localized-App: Simple Android app for displaying text in English and Khasi,0,Java,android,6,2,1,1,0,1,0,2020
"GitHub - pavelsurovy/DrawingChallenge: HackingWithSwift Drawing Challenge, project 9",0,Swift,ios,5,5,1,1,0,1,0,2021
"GitHub - panchalpk20/Drawing-App: This Android Studio project for simple drawing app created by me during my Internship period. This app Contains canvas,different colors and color-chooser and slider for controlling size of brush.",0,Java,android,1,1,1,1,0,1,0,2019
GitHub - P3nz/bedrock-launcher: The official non licensed Minecraft bedrock launcher for IOS and Android,0,Markdown,android,3,3,3,1,0,1,0,2021
"GitHub - Oztechan/CCC: Currency Converter Calculator for Android, iOS and Backend with power of Kotlin Multiplatform",146,Kotlin,ios,2010,564,12,2,1,1,0,2017
"GitHub - Oztechan/CCC: Currency Converter Calculator for Android, iOS and Backend with power of Kotlin Multiplatform",146,Kotlin,android,2010,564,12,2,1,1,0,2017
